osm_id;osm_type;district;name;amenity;tourism;cuisine;opening_hours;website;lat;lon
76514684;node;Innere Stadt;Pizza Bizi;restaurant;;pizza;Mo-Su,PH 11:00-24:00;https://www.pizzabizi.at/;48.2096466;16.3736843
76515393;node;Innere Stadt;Korb;cafe;;;Mo-Sa 08:00-24:00;;;
76518712;node;Innere Stadt;Palmenhaus;restaurant;;breakfast;;;;
119371746;node;Innere Stadt;Salm Bräu;restaurant;;regional;;;;
249711654;node;Innere Stadt;Wiener Wiaz'haus;restaurant;;austrian;Mo-Fr 17:00-22:00;;;
249711655;node;Innere Stadt;TU Wien Mensa Freihaus;restaurant;;;Mo-Fr 08:00-14:00;https://www.mensen.at/standort/mensa-tu-wien/;48.198936;16.3674833
250601788;node;Innere Stadt;McDonald's;fast_food;;burger;Mo-Th 06:00-01:30, Fr 06:00-05:00, Sa 07:00-05:00, Su 07:00-01:30;;;
251361717;node;Innere Stadt;zum Kaiser Würstlstand;fast_food;;;Mo-Th 10:00-02:00;;;
267244783;node;Innere Stadt;Sing Your Song Karaoke;pub;;;Mo-Th 20:00-02:00;;;
267275362;node;Innere Stadt;Jazzclub ZWE;pub;;regional;;https://www.zwe.cc/;48.2162906;16.3748262
269208762;node;Innere Stadt;Restaurant SURA;restaurant;;korean;;;;
269208764;node;Innere Stadt;Cheng Chinese Cuisine;restaurant;;chinese;Mo-Fr 11:30-21:00;http://www.cheng.restaurant/;48.2071903;16.3741585
269208773;node;Innere Stadt;McDonald's;fast_food;;burger;Su-Th,PH 07:00-02:00, Fr,Sa 07:00-04:00;https://www.mcdonalds.at/1010-singerstrasse-4;48.207716;16.372115
269209053;node;Innere Stadt;Akakiko;fast_food;;japanese;Mo-Su 11:00-22:30;https://akakiko.at/;48.2076731;16.3723403
269209054;node;Innere Stadt;Aida;cafe;;coffee_shop;;;;
270066222;node;Innere Stadt;Vestibül;restaurant;;;;https://www.vestibuel.at/;48.2098341;16.3612146
277843035;node;Innere Stadt;Cafè Schrödinger;restaurant;;;Mo-Fr 09:00-16:00;;;
298347612;node;Innere Stadt;Kebap-Haus;restaurant;;turkish;;;48.1984179;16.3660632
298713610;node;Innere Stadt;Gösser Bierklinik;restaurant;;regional;Mo-Su 12:00-23:00;https://www.goesser-bierklinik.at/;48.2105229;16.3696039
306095249;node;Innere Stadt;Pointers;restaurant;;burger;;;;
309293364;node;Innere Stadt;Schikaneder;bar;;;Mo-We 17:00-01:00, Fr,Sa 17:00-04:00, Th 17:00-02:00, Su 17:00-24:00;https://www.schikaneder.at/;48.196612;16.3651253
310649397;node;Innere Stadt;Four Bells;pub;;irish;Mo-Su 16:00-24:00;https://www.fourbells.at/;48.1965758;16.3668127
316012422;node;Innere Stadt;Tachles;pub;;;Mo-We 16:00-23:00;;;
317767352;node;Innere Stadt;Cafe Stein;cafe;;;Mo-We 08:00-00:00;;;
317815743;node;Innere Stadt;Café Sperl;cafe;;coffee_shop;;;;
319734659;node;Innere Stadt;Café Central;cafe;attraction;german;Mo-Sa 08:00-21:00;;;
319735103;node;Innere Stadt;Café Hawelka;cafe;;;;https://www.hawelka.at/;48.2079556;16.3698053
321595780;node;Innere Stadt;Flanagans;pub;;;Su-Th 10:00-02:00;;;
